,name,url,Main Story time,Main Story tag info,Main + Extra time,Main + Extra tag info,Completionist time,Completionist tag info,Solo time,Solo tag info,Co-Op time,Co-Op tag info,Vs. time,Vs. tag info
9492,transformersbattlegrounds,game?id=84386,8.0,40.0,,0.0,,0.0,,,,,,
9494,shutin,game?id=84464,,0.0,1.5,40.0,,0.0,,,,,,
9495,myvowtomyliege,game?id=84502,9.5,40.0,16.0,40.0,19.0,50.0,,,,,,
9497,catchthestars,game?id=85267,,0.0,,0.0,2.0,40.0,,,,,,
9499,chronosbeforetheashes,game?id=85570,8.0,50.0,9.5,50.0,12.5,40.0,,,,,,
9500,thecorridor,game?id=85764,25.0,60.0,30.0,40.0,34.0,50.0,,,,,,
9503,lostinshadowashadowstale,game?id=5390,12.0,60.0,14.5,50.0,19.5,50.0,,,,,,
9504,lostviadomus,game?id=5398,5.5,100.0,6.0,60.0,6.5,80.0,,,,,,
9505,loveplus,game?id=5407,7.5,50.0,14.0,40.0,,0.0,,,,,,
9506,madballsinbaboinvasion,game?id=5487,4.0,60.0,7.5,50.0,14.5,40.0,,,,,,
9507,maddennfl06,game?id=5494,,,,,,,28.5,50.0,40.0,40.0,,0.0
9508,maddennfl13,game?id=5501,,,,,,,43.0,50.0,20.0,40.0,20.0,40.0
9509,magicknightrayearth,game?id=5526,13.0,50.0,13.5,40.0,14.5,40.0,,,,,,
9510,magicaldropv,game?id=5541,1.5,40.0,,0.0,,0.0,,,,,,
9511,makenx,game?id=5587,4.0,50.0,7.0,40.0,9.0,40.0,,,,,,
9512,masteroforion,game?id=5725,9.0,50.0,30.5,40.0,,0.0,,,,,,
9513,mcdonaldstreasurelandadventure,game?id=5747,2.0,60.0,,0.0,,0.0,,,,,,
9514,memykatamari,game?id=5754,7.0,60.0,7.0,50.0,7.0,0.0,,,,,,
9515,megamanzxadvent,game?id=5861,6.0,70.0,13.5,70.0,23.5,40.0,,,,,,
9516,megamandrwilysrevenge,game?id=5862,2.0,100.0,2.5,40.0,3.0,60.0,,,,,,
9517,metalgearacid2,game?id=5904,14.0,70.0,19.5,50.0,26.0,40.0,,,,,,
9518,mischiefmakers,game?id=6086,5.0,80.0,6.5,60.0,11.0,50.0,,,,,,
9519,monsterhunterfreedom,game?id=6149,34.5,40.0,75.5,50.0,496.0,40.0,,,,,,
9520,monsterhunterfreedom2,game?id=6150,39.5,50.0,64.5,50.0,165.0,40.0,,,,,,
9521,mortalkombatunchained,game?id=6216,1.5,40.0,15.0,40.0,42.5,40.0,,,,,,
9522,motorstormarcticedge,game?id=6237,16.0,50.0,19.0,40.0,21.0,40.0,,,,,,
9523,mystiiiexile,game?id=6309,7.5,70.0,9.5,50.0,15.5,50.0,,,,,,
9524,narutopathoftheninja,game?id=6402,16.0,50.0,22.0,40.0,,0.0,,,,,,
9525,nbajam,game?id=6436,13.0,60.0,17.0,50.0,19.0,50.0,,,,,,
9526,neongenesisevangelion,game?id=6500,2.0,40.0,,0.0,3.0,40.0,,,,,,
9527,ninjagaiden3,game?id=6622,7.0,100.0,9.0,40.0,,0.0,,,,,,
9528,operationlogicbomb,game?id=6783,1.5,60.0,,0.0,,0.0,,,,,,
9529,outlaws,game?id=6833,5.5,70.0,7.5,70.0,13.5,50.0,,,,,,
9530,outrun,game?id=6837,28.0,100.0,1.5,60.0,2.0,50.0,,,,,,
9531,pajamasam3youarewhatyoueatfromyourheadtoyourfeet,game?id=6885,1.5,60.0,1.5,50.0,2.0,0.0,,,,,,
9532,perimeter,game?id=6969,29.5,40.0,,0.0,,0.0,,,,,,
9533,phantasystaruniverse,game?id=7006,27.0,50.0,32.0,50.0,42.5,40.0,,,,,,
9534,phineasandferbacrossthe2nddimension,game?id=7024,4.0,50.0,5.5,40.0,14.0,40.0,,,,,,
